AAKAAR MEDICAL TECH,CONCEPT PHARMA,JANSEEN,NOVO NORDISK,SOMATICO,VENUS  REMEDIES,APOLLO DIAGNOSTICS,SMITHA HOSPITAL
AAREEN HEALTHCARE,CONSERN PHARMA LTD,JARUN PHARMACEUTICALS,NUTRIGEN PHARMA,SOUVENIR PHARMA,BAYER PHARMA,EMBIOTIC LABS P LTD,HOLY FAMILY HOSPITAL
AARUX PHARMA,CONVERGE BIOTECH P LTD,JENBURKT,NUTRIGOLD,STAUNCH PHARMA,TENSHI LIFECARE P LTD,AGAPPE DIAGNOSTICS ,SANKARS KOLLAM
ABBOTT HEALTHCARE,CORONA REMEDIES,JENOME BIOPHAR,NUVOMAX NUTRITIONALS,STEDMAN PHARMACEUTICALS,AMPATH LABS LTD,SUNRISE HOSPITAL,PRS HOSPITAL
ACCORD LIFE SCIENCE,CORSLET LIFECARE,JOHNSON & JOHNSON,OAKNET HEALTHCARE,STELIOS PHARMA,BIOVISION LABS,HERBINDUS,COSMOPOLITAN HOSPITAL
ACONITE HEALTHCARE,COVENTIC PHARMA,JOLLY HEALTHCARE,OBSURGE BIOTECH,STERANCO HEALTHCARE,METROPOLIS DIAGNOSTICS,GERMAN REMEDIES,SUT HOSPITAL
ACULIFE HEALTHCARE,CRESCENT FORMULATIONS,JOUSTER,OCIUS PHARMA,STRASSENBURG PHARMA,MEDIVISION,LABINDUS LTD,NSS MEDICAL MISSION
ADONIS LABORATORIES,CRESSIDA LIFESCIENCES,JUBILIANT PHARMOVA,OCTANE BIOTECH,STRYKER INDIA,S PATH LABS AND SCANS,SRV HOSPITALS,JUBILY MEDICAL COLLEGE
ADROCK PHARMA,CURATIO HEALTHCARE,JUBILIATION BIOSCIENCE,OMAN PHARMA,SUN PHARMA,NEUBERG DIAGNOSTICS,SPENCHEM PHARMACEUTICALS,AMALA MEDICAL COLLEGE
ADROIT BIOMED,CUREILL PHARMA P LTD,JUGGAT PHARMA,OMEGA REMEDIES P LTD,SUNBERRY LIFE SCIENCES,DEVI DIAGNOSTICS,KIMS HOSPITAL,BENZIGER HOSPITAL
AGLOMED,CURETIC BIOTECH,JYSMED P LTD,OMNICEUTICS,SUNDYOTA NUMANDIS,DR LALPATH LABS,TRIPSUN INDIA P LTD,
AIMIL PHARMA,CURIFIC LIFESCIENCES P LTD,KALINDA HEALTHCARE,ONCOMED PHARMACEUTICALS,SURYAMSU PHARMA,THYROCARE,FLAMINGO PHARMA,
AJANTA PHARMA,DABUR INDIA,KAPLER VET MISSION P LTD,OPTHO LIFE SCIENCES,SVIZERA HEALTHCARE,VASAN EYE CARE HOSPITALS,KEMWELL PHARMA,
AKESISS PHARMA,DALBET HEALTHCARE,KARNATAKA ANTIBIOTIC,OPTIMUS LIFE SCIENCES P LTD,SYMGENE,APRESIA LIFE SCIENCE,VERITAZ PHARMA,
AKSIGEN PHARMA,DANONE,KATHKIN LIFE SCIENCES,ORACLE LABORATORIES,SYNCHEM PHARMA,DYNA,MEDIVISION DIAGANOSTICS,
AKUMENTIS HEALTHCARE,DELCURE LIFESCIENCES,KAVIVA LIFE SCIENCES,ORIG PHARMA,SYNERGY PHARMA,VAIDYARATNAM AYURVEDA,UNICHEM LABS,
ALBERT DAVID,DELROY PHARMA,KEE PHARMA,OSTIRA GENETICA,SYNOKEM,JOHN MARIAN'S WELLNESS CLINIC,GLAD PHARMA,
ALCHEM INTERNATIONAL,DENZAI,KEPLER HEALTHCARE,OTSUKA PHARMA,SYNTHIKO,BELIEVERS CHURCH HOSPITAL,ALDER PHARMACEUTICALS,
ALCON,DHANI HEALTHCARE INDIABULLS,KHANDELWAL LABS,OVERSEAS HEALTHCARE,SYSMED LABS,MIDAS DIAGNOSTICS,FUSION HEALTHCARE,
ALEMBIC PHARMA,DOSTAR PHARMACEUTICALS,KLM LABS,OZONE PHARMA,SYSTOPIC LABS,RHINE HEALTHCARE,JAGSONPAL PHARMACEUTICALS,
ALFA FORNACIS,DR REDDY'S,KNOP BIOTECH,PALSONS DERMA,T WALKERS PHARMA,ORCHID HEALTHCARE,AKESISS INDIA,
ALKEM LABORATORIES,DR EXPERT SURGICAL DIVISION,KONVERGE HEALTHCARE,PANACEA BIOTECH,TABLETS INDIA,MARS CHEMICALS & THERAPEUTICS,ARANTIS PHARMA,
ALLCARE INDUSTRIES,DWD PHARMA,KOYE PHARMA,PANVIK PHARMA,TACSIDA HEALTH SCIENCES P LTD,BOEHRINGER INGELHEIM,ANTHUS INDIA,
ALLERGAN,DDRC AGILUS PATH LABS LTD,KREGER PHARMA,PERCOS INDIA,TALENT INDIA,MECKLY GENERICS PHARMA,BARODA PHARAM,
ALMET LIFESCIENCE,DDC PATH LABS LTD,KUSUM HEALTHCARE,PFIZER,TASMED,BENNET PHARMACEUTICALS,KEPLER HEALTHCARE,
ALNICHE LIFE SCIENCE,EASTWEST PHARMA,LA PRISTINE,PHARMANOVA,TEJAS LIFE SCIENCE,RIVELA,QUALITY INNOVATIONS,
ALTEUS BIOGENICS,EDGELIFE CARE,LA RENON,PHARMATECH INDIA,THEIA PHARMCO,HARYANA FORMULATIONS P LTD,TABLET INDIA,
ALVIO PHARMA,EISAI PHARMA,LABORATE PHARMACEUTICALS LTD,PHARMAZZ INDIA,THEMIS PHARAM,,EAST WEST PHARMA,
